Name,Points,Time,CorrectMinValue,CorrectIndex,Timestamp
OpenMP,1000000000,0.0541582790,1,1,2025-11-07 08:02:07
OpenMP,1000,0.0000379500,1,1,2025-11-07 08:03:15
OpenMP,10000,0.0000402100,1,1,2025-11-07 08:03:15
OpenMP,100000,0.0001764010,1,1,2025-11-07 08:03:15
OpenMP,1000000,0.0004484030,1,1,2025-11-07 08:03:15
OpenMP,10000000,0.0008952770,1,1,2025-11-07 08:03:15
OpenMP,100000000,0.0057779450,1,1,2025-11-07 08:03:15
OpenMP,1000000000,0.0539976450,1,1,2025-11-07 08:03:15
Kokkos,1000,0.0000488200,1,1,2025-11-07 08:10:31
Kokkos,10000,0.0000283800,1,1,2025-11-07 08:10:31
Kokkos,100000,0.0000409310,1,1,2025-11-07 08:10:31
Kokkos,1000000,0.0000816410,1,1,2025-11-07 08:10:31
Kokkos,10000000,0.0001604610,1,1,2025-11-07 08:10:31
Kokkos,100000000,0.0003316620,1,1,2025-11-07 08:10:31
Kokkos,1000000000,0.0017735430,1,1,2025-11-07 08:10:31
Kokkos,1000,0.0000424310,1,1,2025-11-07 08:12:16
Kokkos,10000,0.0000366400,1,1,2025-11-07 08:12:16
Kokkos,100000,0.0000475810,1,1,2025-11-07 08:12:16
Kokkos,1000000,0.0000854800,1,1,2025-11-07 08:12:16
Kokkos,10000000,0.0001739410,1,1,2025-11-07 08:12:16
Kokkos,100000000,0.0003215520,1,1,2025-11-07 08:12:16
Kokkos,1000000000,0.0017950020,1,1,2025-11-07 08:12:16
Kokkos,1000,0.0000409400,1,1,2025-11-07 08:14:01
Kokkos,10000,0.0000341400,1,1,2025-11-07 08:14:01
Kokkos,100000,0.0000435910,1,1,2025-11-07 08:14:01
Kokkos,1000000,0.0000847600,1,1,2025-11-07 08:14:01
Kokkos,10000000,0.0001837110,1,1,2025-11-07 08:14:01
Kokkos,100000000,0.0003200430,1,1,2025-11-07 08:14:01
Kokkos,1000000000,0.0017790630,1,1,2025-11-07 08:14:01
Kokkos,1000,0.0000494900,1,1,2025-11-07 08:15:46
Kokkos,10000,0.0000344900,1,1,2025-11-07 08:15:46
Kokkos,100000,0.0000467110,1,1,2025-11-07 08:15:46
Kokkos,1000000,0.0000672000,1,1,2025-11-07 08:15:46
Kokkos,10000000,0.0001836520,1,1,2025-11-07 08:15:46
Kokkos,100000000,0.0003282720,1,1,2025-11-07 08:15:46
Kokkos,1000000000,0.0017815230,1,1,2025-11-07 08:15:46
Kokkos,1000,0.0000404800,1,1,2025-11-07 08:17:31
Kokkos,10000,0.0000295300,1,1,2025-11-07 08:17:31
Kokkos,100000,0.0000417000,1,1,2025-11-07 08:17:31
Kokkos,1000000,0.0000811910,1,1,2025-11-07 08:17:31
Kokkos,10000000,0.0001603710,1,1,2025-11-07 08:17:31
Kokkos,100000000,0.0003119720,1,1,2025-11-07 08:17:31
Kokkos,1000000000,0.0017902830,1,1,2025-11-07 08:17:31
Kokkos,1000,0.0000368800,1,1,2025-11-07 08:19:16
Kokkos,10000,0.0000305810,1,1,2025-11-07 08:19:16
Kokkos,100000,0.0000410010,1,1,2025-11-07 08:19:16
Kokkos,1000000,0.0001169410,1,1,2025-11-07 08:19:16
Kokkos,10000000,0.0001805710,1,1,2025-11-07 08:19:16
Kokkos,100000000,0.0003123220,1,1,2025-11-07 08:19:16
Kokkos,1000000000,0.0018046530,1,1,2025-11-07 08:19:16
Kokkos,1000,0.0000466400,1,1,2025-11-07 08:21:01
Kokkos,10000,0.0000360400,1,1,2025-11-07 08:21:01
